Designator,Comment,Description,Quantity,PART NO,BRAND,PACKAGE,SUPPLIER,STOCK CODE,TYPE

"BZ201","Buzzer","","1","","","","tme.vn","YMD-12065G-5V","TH"
"C101","NA","Capacitor non-pol","1","","","","","","NA"
"C102, C105, C109, C111, C113, C115, C116, C119, C121, C122, C123, C125, C132, C134, C135, C136, C222, C301, C302, C303, C304, C305, C311, C312, C313, C314, C315, C509, C510, C511, C512, C513, C514, C515, C516, C519, C520, C521, C522, C523, C524, C525, C526, C538, C607, C608, C609, C610, C801, C803, C804","0.1uF","CAP CER 0.1UF 50V X7R 0805","51","","","SMD0805","tme.vn","CL21B104KBNC","SMD"
"C103, C104, C124, C126","1000uF/25V","CAP ALUM 1000UF 20% 25V RADIAL","4","","JWCO","10x17mm","tme.vn","1000uF/25V","TH"
"C106, C107","NA/1000pF","Capacitor non-pol","2","","","","","","NA"
"C108, C114, C120, C802","22uF","CAP CER 22UF 10% 16V X7R 1210","4","","","SMD1210","tme.vn","CC1210KKX7R7BB226","SMD"
"C110, C112, C117, C118, C128, C129, C556, C557, C558, C559, C560, C805, C806","220uF/16V","CAP ALUM 220UF 20% 16V RADIAL","13","","","6.3x12","tme.vn","220uF/16V","TH"
"C201, C203, C204, C205, C206, C215, C216, C217, C219, C220, C223, C226, C227, C527, C533, C603, C611, C702","0.1uF","CAP CER 0.1UF 50V X7R 0603","18","","","SMD0603","tme.vn","CC0603KRX7R9BB104","SMD"
"C202, C209, C210, C211, C212","1000pF","CAP CER 0.1UF 50V X7R 0603","5","","","SMD0603","tme.vn","CC0603KRX7R9BB104","SMD"
"C218, C528, C534, C604, C612, C703","4.7uF","CAP CER 4.7UF 50V X7R 0603","6","","","SMD0603","tme.vn","CC0603KRX5R6BB475","SMD"
"C224, C225","20pF","CAP CER 9pF 50V X7R 0603","2","","","SMD0603","tme.vn","CC0603JRNPO9BN100","SMD"
"C501, C502, C503, C504, C505, C506, C507, C508, C517, C518, C529, C530, C531, C532, C535, C536, C537, C601, C602, C605, C606","10uF","CAP CER 0.1UF 50V X7R 0805","21","","","SMD0805","tme.vn","CL21B104KBNC","SMD"
"C539, C540, C541, C542, C543, C544, C545, C546, C547, C548, C549, C550, C551, C552, C553, C554, C555, C613, C614, C615, C616","NA/100uF/16V","CAP ALUM 100UF 20% 16V RADIAL","21","","","5x7 mm","tme.vn","100uF/16V","NA"
"D101","SS34","DIODE SCHOTTKY 40V 3A SUB SMA","1","SS34","Toshiba","DO-214AC","tme.vn","SS34","SMD"
"D102, D104, D105, D107, D801","LED RED 3MM","LED RED CLEAR 0603 SMD","5","","","3MM","tme.vn","HT204SURD","TH"
"D103, D106","SS34","DIODE SCHOTTKY 40V 3A SUB SMA","2","SS34","Toshiba","DO-214AC","tme.vn","SS34","SMD"
"D108","NA/MB6S","BRIDGE RECT 1P 600V 500MA 4SOIC","1","MB6S","","MBS (TO-269AA)","","MB6S","NA"
"D201, D203, D204","MBR0520T1G","DIODE SCHOTTKY 20V 500MA SOD123","3","MBR0520T1G","","SOD123","tme.vn","MBR0520T1G","SMD"
"D202","5V Led","LED RED CLEAR 0603 SMD","1","","","3MM","tme.vn","HT204SURD","TH"
"L102, L103, L106, L107, L201, L202, L203, L801","FB","Chip Ferrite Bead","8","","","SMD0805","tme.vn","CB2012D300ST(F)","SMD"
"L104, L105","33uH","FIXED IND 33UH 3A 64.8 MOHM SMD","2","","","SMD121208","tme.vn","","SMD"
"LCD702","LCD 16x2","Character LCD 16x2","1","","","","","","TH"
"M301, M302, M303, M304, M305","EBOX-RELAY-02","EBOX-RELAY-02","5","EBOX-RELAY-02","","","","EBOX-RELAY-02","TH"
"M401","EBOX_3G Module","EBOX_3G Module","1","","","","","","TH"
"M801","ESP8266 ESP-01","ESP8266 ESP-01","1","","","","","","NA"
"M802","ESP8266 ESP-05","ESP8266 ESP-05","1","","","","","","NA"
"P101","Header 2","Header, 2-Pin","1","","","","","","NA"
"P102","Header 3","Header, 3-Pin","1","","","","","","NA"
"P103","Header 2","Header, 2-Pin","1","","","","","","NA"
"P104","AC-DC 12V2A","AC-DC 12V2A MODULE","1","","","","CHINA","","TH"
"P201, P202","Header 5X2","Header, 5-Pin, Dual row","2","","","","","","TH"
"P203","Debug Serial","Header, 3-Pin","1","","","","","","TH"
"P302","Header 2","Header, 2-Pin","1","","","","","","TH"
"Q201, Q501, Q502, Q503, Q504, Q505, Q506, Q507, Q508, Q509, Q510, Q511, Q512, Q513, Q514, Q515, Q516, Q517, Q601, Q602, Q603, Q604, Q702","MMBT3904LT1G","TRANS NPN 40V 0.2A SOT23","23","","","","tme.vn","LMBT3904LT1G","SMD"
"R101, R212, R213","4.7K","RES SMD 4.7K OHM 1% 1/10W 0603","3","","","SMD0603","tme.vn","RM06JTN472","SMD"
"R102, R106, R206, R803","330R","RES SMD 330 OHM 1% 1/10W 0603","4","","","SMD0603","tme.vn","RM06JTN331","SMD"
