Altium Designer Pick and Place Locations
C:\Users\thanh\work\pcb\ebox_pcb\ebox_main\Outputs\BOM\eBox_main_BOM_V3.0_2021-12-21_00-56\eBox_main_BOM_V3.0_2021-12-21_00-56.txt

========================================================================================================================
File Design Information:

Date:       21/12/21
Time:       00:56
Revision:   dc51f4b66a3d339b58092cef81df993806baa7a8
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                     
R804       NA/0R              TopLayer    R_0603                     7834.646      6958.661      180      "RES SMD 0 OHM 1% 1/10W 0603"                                                   
R302       0R                 TopLayer    R_0603                     7883.858      3956.693      90       "RES SMD 0 OHM 5% 1/10W 0603"                                                   
R301       NA/0R              TopLayer    R_0603                     7805.118      3956.693      90       "RES SMD 0 OHM 1% 1/10W 0603"                                                   
L106       FB                 TopLayer    L_0805_(2012)              10000.000     3287.402      270      "Chip Ferrite Bead"                                                             
C305       0.1uF              TopLayer    C_0805                     9114.173      3188.976      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C304       0.1uF              TopLayer    C_0805                     7342.520      3188.976      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C303       0.1uF              TopLayer    C_0805                     5570.866      3188.976      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C302       0.1uF              TopLayer    C_0805                     3799.213      3188.976      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C301       0.1uF              TopLayer    C_0805                     2027.559      3188.976      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
U801       LM1117MPX-3.3/NOPB TopLayer    SOT-223                    6968.504      6909.449      360      "IC REG LINEAR 3.3V 800MA SOT223"                                               
R803       330R               TopLayer    R_0603                     6446.850      6861.024      90       "RES SMD 330 OHM 1% 1/10W 0603"                                                 
L801       FB                 TopLayer    L_0805_(2012)              7360.236      6860.236      360      "Chip Ferrite Bead"                                                             
D801       "LED RED 3MM"      BottomLayer LED_3MM_-_red              6446.850      7018.504      270      "LED RED CLEAR 0603 SMD"                                                        
