Altium Designer Pick and Place Locations
C:\Users\thanh\work\pcb\ebox_pcb\ebox_main\Outputs\Pick Place\eBox_main_PnP_V3.0_2021-12-21_01-01\eBox_main_PnP_V3.0_2021-12-21_01-01.txt

========================================================================================================================
File Design Information:

Date:       21/12/21
Time:       01:01
Revision:   dc51f4b66a3d339b58092cef81df993806baa7a8
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                     
R804       NA/0R              TopLayer    R_0603                     199,0000     176,7500     180      "RES SMD 0 OHM 1% 1/10W 0603"                                                   
R302       0R                 TopLayer    R_0603                     200,2500     100,5000     90       "RES SMD 0 OHM 5% 1/10W 0603"                                                   
R301       NA/0R              TopLayer    R_0603                     198,2500     100,5000     90       "RES SMD 0 OHM 1% 1/10W 0603"                                                   
L106       FB                 TopLayer    L_0805_(2012)              254,0000     83,5000      270      "Chip Ferrite Bead"                                                             
C305       0.1uF              TopLayer    C_0805                     231,5000     81,0000      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C304       0.1uF              TopLayer    C_0805                     186,5000     81,0000      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C303       0.1uF              TopLayer    C_0805                     141,5000     81,0000      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C302       0.1uF              TopLayer    C_0805                     96,5000      81,0000      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C301       0.1uF              TopLayer    C_0805                     51,5000      81,0000      270      "CAP CER 0.1UF 50V X7R 0805"                                                    
U801       LM1117MPX-3.3/NOPB TopLayer    SOT-223                    177,0000     175,5000     360      "IC REG LINEAR 3.3V 800MA SOT223"                                               
R803       330R               TopLayer    R_0603                     163,7500     174,2700     90       "RES SMD 330 OHM 1% 1/10W 0603"                                                 
L801       FB                 TopLayer    L_0805_(2012)              186,9500     174,2500     360      "Chip Ferrite Bead"                                                             
D801       "LED RED 3MM"      BottomLayer LED_3MM_-_red              163,7500     178,2700     270      "LED RED CLEAR 0603 SMD"                                                        
C806       220uF/16V          BottomLayer CYL/D.250/LS.100-D63H70P25 190,9750     177,5000     90       "CAP ALUM 220UF 20% 16V RADIAL"                                                 
C805       220uF/16V          BottomLayer CYL/D.250/LS.100-D63H70P25 183,0000     177,5000     90       "CAP ALUM 220UF 20% 16V RADIAL"                                                 
C804       0.1uF              TopLayer    C_0805                     185,7500     177,5000     90       "CAP CER 0.1UF 50V X7R 0805"                                                    
C803       0.1uF              TopLayer    C_0805                     167,5000     174,5200     90       "CAP CER 0.1UF 50V X7R 0805"                                                    
C802       22uF               TopLayer    C_1210                     170,5000     175,2500     90       "CAP CER 22UF 10% 16V X7R 1210"                                                 
C801       0.1uF              TopLayer    C_0805                     188,2500     177,5000     90       "CAP CER 0.1UF 50V X7R 0805"                                                    
M305       EBOX-RELAY-02      BottomLayer EBOX-RELAY-02-90           134,3950     44,2500      180      EBOX-RELAY-02                                                                   
M303       EBOX-RELAY-02      BottomLayer EBOX-RELAY-02-90           179,3950     44,2500      180      EBOX-RELAY-02                                                                   
M302       EBOX-RELAY-02      BottomLayer EBOX-RELAY-02-90           224,3950     44,2500      180      EBOX-RELAY-02                                                                   
M301       EBOX-RELAY-02      BottomLayer EBOX-RELAY-02-90           44,3950      44,2500      180      EBOX-RELAY-02                                                                   
M304       EBOX-RELAY-02      BottomLayer EBOX-RELAY-02-90           89,3950      44,2500      180      EBOX-RELAY-02                                                                   
P302       "Header 2"         BottomLayer HDR/Terminal/2/KF55C-10    10,0000      32,5000      90       "Header, 2-Pin"                                                                 
P101       "Header 2"         BottomLayer HDR/Terminal/2/KF55C-10    10,0000      55,0000      270      "Header, 2-Pin"                                                                 
M802       "ESP8266 ESP-05"   BottomLayer ESP8266_ESP-05             212,0000     175,7700     270      "ESP8266 ESP-05"                                                                
R802       10K                TopLayer    R_0603                     199,0000     175,0000     180      "RES SMD 10K OHM 1% 1/10W 0603"                                                 
R801       10K                TopLayer    R_0603                     199,0000     178,5000     180      "RES SMD 10K OHM 1% 1/10W 0603"                                                 
M801       "ESP8266 ESP-01"   BottomLayer ESP8266_ESP-01             206,1700     175,7700     270      "ESP8266 ESP-01"                                                                
C560       220uF/16V          BottomLayer CYL/D.250/LS.100-D63H70P25 118,5000     140,5000     270      "CAP ALUM 220UF 20% 16V RADIAL"                                                 
C559       220uF/16V          BottomLayer CYL/D.250/LS.100-D63H70P25 68,7500      138,7500     90       "CAP ALUM 220UF 20% 16V RADIAL"                                                 
C227       0.1uF              TopLayer    C_0603                     172,7500     139,7500     90       "CAP CER 0.1UF 50V X7R 0603"                                                    
M401       "EBOX_3G Module"   TopLayer    EBOX_3G                    238,0001     158,7401     270      "EBOX_3G Module"                                                                
Y201       8MHz               TopLayer    Crystal_HC49US_SMD         182,4998     138,0000     360      "8 MHz HC-49S SMD Crystal"                                                      
U102       LM1117MPX-3.3/NOPB TopLayer    SOT-223                    139,2500     174,7700     90       "IC REG LINEAR 3.3V 800MA SOT223"                                               
L107       FB                 TopLayer    L_0805_(2012)              129,2500     172,7700     270      "Chip Ferrite Bead"                                                             
C118       220uF/16V          BottomLayer CYL/D.250/LS.100-D63H70P25 132,2500     165,0200     360      "CAP ALUM 220UF 20% 16V RADIAL"                                                 
C117       220uF/16V          BottomLayer CYL/D.250/LS.100-D63H70P25 132,2500     172,7700     270      "CAP ALUM 220UF 20% 16V RADIAL"                                                 
C116       0.1uF              TopLayer    C_0805                     134,5000     172,7700     270      "CAP CER 0.1UF 50V X7R 0805"                                                    
C115       0.1uF              TopLayer    C_0805                     140,5000     164,7700     180      "CAP CER 0.1UF 50V X7R 0805"                                                    
C114       22uF               TopLayer    C_1210                     139,7500     168,0200     180      "CAP CER 22UF 10% 16V X7R 1210"                                                 
