Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C201,0.1uF,TopLayer,C_0603,-201.50,44.50,90,CAP CER 0.1UF 50V X7R 0603
C203,0.1uF,TopLayer,C_0603,-208.25,27.75,90,CAP CER 0.1UF 50V X7R 0603
C204,0.1uF,TopLayer,C_0603,-188.25,21.00,180,CAP CER 0.1UF 50V X7R 0603
C205,0.1uF,TopLayer,C_0603,-182.00,40.25,270,CAP CER 0.1UF 50V X7R 0603
C206,0.1uF,TopLayer,C_0603,-208.50,41.50,90,CAP CER 0.1UF 50V X7R 0603
C215,0.1uF,TopLayer,C_0603,-192.75,45.75,0,CAP CER 0.1UF 50V X7R 0603
C216,0.1uF,TopLayer,C_0603,-237.25,54.28,270,CAP CER 0.1UF 50V X7R 0603
C220,0.1uF,TopLayer,C_0603,-251.50,54.28,270,CAP CER 0.1UF 50V X7R 0603
C223,0.1uF,TopLayer,C_0603,-190.25,57.50,270,CAP CER 0.1UF 50V X7R 0603
C226,0.1uF,TopLayer,C_0603,-200.50,18.50,0,CAP CER 0.1UF 50V X7R 0603
C227,0.1uF,TopLayer,C_0603,-172.75,45.25,270,CAP CER 0.1UF 50V X7R 0603
C527,0.1uF,TopLayer,C_0603,-90.50,46.75,270,CAP CER 0.1UF 50V X7R 0603
C533,0.1uF,TopLayer,C_0603,-115.50,46.75,270,CAP CER 0.1UF 50V X7R 0603
C603,0.1uF,TopLayer,C_0603,-140.50,46.75,270,CAP CER 0.1UF 50V X7R 0603
C611,0.1uF,TopLayer,C_0603,-159.00,46.75,270,CAP CER 0.1UF 50V X7R 0603
C702,0.1uF,TopLayer,C_0603,-63.50,46.75,270,CAP CER 0.1UF 50V X7R 0603
C202,1000pF,TopLayer,C_0603,-199.75,44.50,90,CAP CER 0.1UF 50V X7R 0603
C209,1000pF,TopLayer,C_0603,-206.50,27.75,90,CAP CER 0.1UF 50V X7R 0603
C210,1000pF,TopLayer,C_0603,-188.25,22.75,180,CAP CER 0.1UF 50V X7R 0603
C211,1000pF,TopLayer,C_0603,-183.75,40.25,270,CAP CER 0.1UF 50V X7R 0603
C212,1000pF,TopLayer,C_0603,-206.75,41.50,90,CAP CER 0.1UF 50V X7R 0603
C528,4.7uF,TopLayer,C_0603,-88.50,46.75,270,CAP CER 4.7UF 50V X7R 0603
C534,4.7uF,TopLayer,C_0603,-113.50,46.75,270,CAP CER 4.7UF 50V X7R 0603
C604,4.7uF,TopLayer,C_0603,-138.50,46.75,270,CAP CER 4.7UF 50V X7R 0603
C612,4.7uF,TopLayer,C_0603,-157.00,46.75,270,CAP CER 4.7UF 50V X7R 0603
C703,4.7uF,TopLayer,C_0603,-65.50,46.75,270,CAP CER 4.7UF 50V X7R 0603
C102,0.1uF,TopLayer,C_0805,-42.00,2.25,0,CAP CER 0.1UF 50V X7R 0805
C105,0.1uF,TopLayer,C_0805,-42.00,21.25,180,CAP CER 0.1UF 50V X7R 0805
C109,0.1uF,TopLayer,C_0805,-251.63,80.25,180,CAP CER 0.1UF 50V X7R 0805
C111,0.1uF,TopLayer,C_0805,-252.90,104.75,180,CAP CER 0.1UF 50V X7R 0805
C113,0.1uF,TopLayer,C_0805,-132.25,17.23,180,CAP CER 0.1UF 50V X7R 0805
C115,0.1uF,TopLayer,C_0805,-140.50,20.23,0,CAP CER 0.1UF 50V X7R 0805
C116,0.1uF,TopLayer,C_0805,-134.50,12.23,90,CAP CER 0.1UF 50V X7R 0805
C119,0.1uF,TopLayer,C_0805,-151.00,17.23,180,CAP CER 0.1UF 50V X7R 0805
C121,0.1uF,TopLayer,C_0805,-159.25,20.23,0,CAP CER 0.1UF 50V X7R 0805
C122,0.1uF,TopLayer,C_0805,-153.25,12.23,90,CAP CER 0.1UF 50V X7R 0805
C123,0.1uF,TopLayer,C_0805,-252.90,98.25,180,CAP CER 0.1UF 50V X7R 0805
C125,0.1uF,TopLayer,C_0805,-75.00,8.73,0,CAP CER 0.1UF 50V X7R 0805
C132,0.1uF,TopLayer,C_0805,-76.75,22.48,270,CAP CER 0.1UF 50V X7R 0805
C134,0.1uF,TopLayer,C_0805,-42.00,4.50,0,CAP CER 0.1UF 50V X7R 0805
C135,0.1uF,TopLayer,C_0805,-42.00,9.50,0,CAP CER 0.1UF 50V X7R 0805
C136,0.1uF,TopLayer,C_0805,-42.00,11.75,0,CAP CER 0.1UF 50V X7R 0805
