Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R350,100K,BottomLayer,R_1206,16.5359,14,270,RES SMD 100K OHM 5% 1/4W 1206
R349,100K,BottomLayer,R_1206,14,14,90,RES SMD 100K OHM 5% 1/4W 1206
R348,100K,BottomLayer,R_1206,11.5,14,270,RES SMD 100K OHM 5% 1/4W 1206
R347,100K,BottomLayer,R_1206,58.75,14,90,RES SMD 100K OHM 5% 1/4W 1206
R346,100K,BottomLayer,R_1206,61.25,14,270,RES SMD 100K OHM 5% 1/4W 1206
R345,100K,BottomLayer,R_1206,63.75,14,90,RES SMD 100K OHM 5% 1/4W 1206
R320,100R,BottomLayer,R_0603,25.75,79,0,RES SMD 100 OHM 1% 1/10W 0805
R319,4.7K,BottomLayer,R_0603,19,66,270,RES SMD 4.7K OHM 1% 1/10W 0805
R318,100R,BottomLayer,R_0603,58.75,79,0,RES SMD 100 OHM 1% 1/10W 0805
R317,4.7K,BottomLayer,R_0603,52,66,270,RES SMD 4.7K OHM 1% 1/10W 0805
D320,SS14,BottomLayer,DO-214AC_(SMA)_L,30,30,270,DIODE SCHOTTKY 40V 1A SMA
D318,SS14,BottomLayer,DO-214AC_(SMA)_L,63,30,270,DIODE SCHOTTKY 40V 1A SMA
