Altium Designer Pick and Place Locations
C:\Users\thanh\Documents\git\pcb\ebox_4g_sim7600_pcb\Outputs\Pick Place\eBox_4G_SIM7600_pnp_V2.1_2021-05-02_12-30.txt

========================================================================================================================
File Design Information:

Date:       02/05/21
Time:       12:30
Revision:   3ce0fa2920639404cf230362507fe3b907237a29
Variant:    No variations
Units used: mm

Designator Comment        Layer       Footprint           Center-X(mm) Center-Y(mm) Rotation Description                                                               
U1         Sim7600        BottomLayer Sim7600             24.5000      16.2500      180      ""                                                                        
R18        10K            TopLayer    R_0603              28.4988      37.2364      270      Resistor                                                                  
R17        10K/NA         TopLayer    R_0603              30.1498      37.1856      90       Resistor                                                                  
R16        10K            TopLayer    R_0603              21.2852      37.2618      270      Resistor                                                                  
R15        10K/NA         TopLayer    R_0603              22.9108      37.2364      90       Resistor                                                                  
Q11        LN2302LT1G     TopLayer    SOT-23              25.9420      37.2716      180      "Mosfet N"                                                                
Q10        LN2302LT1G     TopLayer    SOT-23              18.6920      37.2716      180      "Mosfet N"                                                                
FL1        BLM21PG300SN1D TopLayer    L_0805_(2012)       13.0048      19.8628      180      "30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 _2012 Metric_ 4A 14mOhm" 
L5         LXES15AAA1-153 TopLayer    C_0603              1.8288       5.8420       360      "Clamp Ipp Tvs Diode Surface Mount 1005"                                  
L4         LXES15AAA1-153 TopLayer    C_0603              7.8486       29.4132      90       "Clamp Ipp Tvs Diode Surface Mount 1005"                                  
J2         IPEX           TopLayer    CONN/IPX/SMD        2.5000       13.7500      360      "CONN UMC RCPT STR 50 OHM SMD"                                            
D4         "LED RED"      TopLayer    Led_0603_-_red      11.9126      39.7764      90       "LED RED DIFFUSED 0603 SMD"                                               
R13        0R             TopLayer    RR_0603             4.8514       5.7912       360      "RES SMD 0 OHM JUMPER 1/10W 0603"                                         
R12        47k            TopLayer    RR_0603             13.7414      32.8422      270      "RES SMD 47K OHM 5% 1/10W 0603"                                           
R11        47k            TopLayer    RR_0603             10.6172      32.8422      270      "RES SMD 47K OHM 5% 1/10W 0603"                                           
R10        4.7k           TopLayer    RR_0603             12.1546      32.8168      90       "RES SMD 4.7K OHM 1% 1/10W 0603"                                          
Q4         MMBT3904LT1G   TopLayer    SOT-23              13.0556      36.0934      90       "TRANS NPN 40V 0.2A SOT23"                                                
LP3        4.7uH          TopLayer    0805                44.4500      27.6860      180      ""                                                                        
