Altium Designer Pick and Place Locations
C:\Users\thanh\Documents\git\pcb\ebox_led_pcb\Outputs\Pick Place\eBox_Led_pnp_V2.1_2021-05-02_12-28.csv

========================================================================================================================
File Design Information:

Date:       02/05/21
Time:       12:28
Revision:   1b89fb3c824b89a8eb152601ea6d4bd825b49117
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U1","SMF05C","TopLayer","SOT-363-6","-25.2500","7.5000","270","5-Line Transient Voltage Suppressor Array"
"C6","CAP_POL3528-KIT","BottomLayer","CYL/D.250/LS.100","-20.2500","1.5000","270","Capacitor PolarizedThese are standard SMD and PTH capacitors. Normally 10uF, 47uF, and 100uF in electrolytic and tantalum varieties. Always verify the external diameter of the through hole cap, it varies with capacity, voltage, and manufacturer. The EIA devices should be standard."
"R31","10k","BottomLayer","R_0603","-15.7500","3.0000","270","RESISTOR, European symbol"
"R30","10k","BottomLayer","R_0603","-13.7500","3.0000","270","RESISTOR, European symbol"
"R29","10k","BottomLayer","R_0603","-11.7500","3.0000","270","RESISTOR, European symbol"
"R28","10k","BottomLayer","R_0603","-9.7500","3.0000","270","RESISTOR, European symbol"
"Q4","TRANSISTOR_NPNSOT23-3","BottomLayer","SOT23-3","-21.7500","6.7000","0","Generic NPN BJT   MMBT2222A - TRANS-08049 (SOT-23, 1A 40V) MPSA42 - TRANS-09116 (SOT-23, 500mA 300V) MMBT5088LT1G - TRANS-11160 (SOT-23, 50 mA 30V)          BC547 -     COM-08928    (TO-92 45V 100mA) (1.Collector 2.Base 3.Emitter)             2N3904 -     COM-00521    (TO-92 40V 200mA) (1.Emitter 2.Base 3.Collector)             P2N2222A -     COM-12852    (TO-92 40V 600mA) (1.Collector 2.Base 3.Emitter)"
"Q3","TRANSISTOR_NPNSOT23-3","BottomLayer","SOT23-3","-17.7500","6.7000","0","Generic NPN BJT   MMBT2222A - TRANS-08049 (SOT-23, 1A 40V) MPSA42 - TRANS-09116 (SOT-23, 500mA 300V) MMBT5088LT1G - TRANS-11160 (SOT-23, 50 mA 30V)          BC547 -     COM-08928    (TO-92 45V 100mA) (1.Collector 2.Base 3.Emitter)             2N3904 -     COM-00521    (TO-92 40V 200mA) (1.Emitter 2.Base 3.Collector)             P2N2222A -     COM-12852    (TO-92 40V 600mA) (1.Collector 2.Base 3.Emitter)"
"Q2","TRANSISTOR_NPNSOT23-3","BottomLayer","SOT23-3","-13.7500","6.7000","0","Generic NPN BJT   MMBT2222A - TRANS-08049 (SOT-23, 1A 40V) MPSA42 - TRANS-09116 (SOT-23, 500mA 300V) MMBT5088LT1G - TRANS-11160 (SOT-23, 50 mA 30V)          BC547 -     COM-08928    (TO-92 45V 100mA) (1.Collector 2.Base 3.Emitter)             2N3904 -     COM-00521    (TO-92 40V 200mA) (1.Emitter 2.Base 3.Collector)             P2N2222A -     COM-12852    (TO-92 40V 600mA) (1.Collector 2.Base 3.Emitter)"
"Q1","TRANSISTOR_NPNSOT23-3","BottomLayer","SOT23-3","-9.7500","6.7000","0","Generic NPN BJT   MMBT2222A - TRANS-08049 (SOT-23, 1A 40V) MPSA42 - TRANS-09116 (SOT-23, 500mA 300V) MMBT5088LT1G - TRANS-11160 (SOT-23, 50 mA 30V)          BC547 -     COM-08928    (TO-92 45V 100mA) (1.Collector 2.Base 3.Emitter)             2N3904 -     COM-00521    (TO-92 40V 200mA) (1.Emitter 2.Base 3.Collector)             P2N2222A -     COM-12852    (TO-92 40V 600mA) (1.Collector 2.Base 3.Emitter)"
"R27","10k","BottomLayer","R_0603","-9.7500","9.5000","180","RESISTOR, European symbol"
"R26","10k","BottomLayer","R_0603","-13.7500","9.5000","180","RESISTOR, European symbol"
"R25","10k","BottomLayer","R_0603","-17.7500","9.5000","180","RESISTOR, European symbol"
