Altium Designer Pick and Place Locations
C:\Users\thanh\Documents\git\pcb\ebox_main_pcb\Outputs\Pick Place\eBox_main_pnp_V2.1_2021-05-02_12-27.csv

========================================================================================================================
File Design Information:

Date:       02/05/21
Time:       12:27
Revision:   05351c502106140497ed03f9f86fcfae9b0b122f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"S312","TA17","BottomLayer","TA17","226.0000","71.0000","360",""
"S311","TA17","BottomLayer","TA17","202.5000","71.0000","360",""
"M802","ESP8266 ESP-05","BottomLayer","ESP8266_ESP-05","240.8300","146.0000","270","ESP8266 ESP-05"
"R802","0R","TopLayer","R_0603","230.0000","146.9600","180","Resistor"
"R801","0R","TopLayer","R_0603","230.0000","148.7500","180","Resistor"
"M801","ESP8266 ESP-01","BottomLayer","ESP8266_ESP-01","235.0000","146.0000","270","ESP8266 ESP-01"
"C560","220uF/16V","BottomLayer","CYL/D.250/LS.100","122.2500","142.5000","270","CAP ALUM 220UF 20% 16V RADIAL"
"C559","220uF/16V","BottomLayer","CYL/D.250/LS.100","61.7500","142.5000","270","CAP ALUM 220UF 20% 16V RADIAL"
"C227","0.1uF","TopLayer","C_0603","162.7500","139.7500","90","CAP CER 0.1UF 50V X7R 0603"
"M401","EBOX_3G Module","BottomLayer","EBOX_3G","228.0001","176.2401","270","EBOX_3G Module"
"Y201","8MHz","TopLayer","Crystal_HC49US_SMD","172.4998","138.0000","360","8 MHz HC-49S SMD Crystal"
"U102","LM1117MPX-3.3/NOPB","TopLayer","SOT-223","161.0000","189.5000","90","IC REG LINEAR 3.3V 800MA SOT223"
"L107","FB","TopLayer","L_0805_(2012)","151.0000","187.5000","270","Chip Ferrite Bead"
"C118","220uF/16V","BottomLayer","CYL/D.250/LS.100","154.0000","179.7500","360","CAP ALUM 220UF 20% 16V RADIAL"
"C117","220uF/16V","BottomLayer","CYL/D.250/LS.100","154.0000","187.5000","270","CAP ALUM 220UF 20% 16V RADIAL"
"C116","0.1uF","TopLayer","C_0805","156.2500","187.5000","270","CAP CER 0.1UF 50V X7R 0805"
